Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1212 Philo Road	922116451002.00	3/14/2016	Class C	Issued		"1212 Philo Road
Urbana, IL
(-88.1908, 40.1023)"
1401 East Mumford Drive	932121332001.00	4/25/2017	Class B	Issued	10/14/2022	"1401 East Mumford Drive
Urbana, IL
(40.0904922485, -88.1914291382)"
1102 West Hill Street	912107426019.00	7/12/2017	Class B	Issued	10/14/2022	"1102 West Hill Street
Urbana, IL
(40.11943, -88.22196)"
105 West Washington Street	932117401012.00	3/25/2009	Class A	Issued		"105 West Washington Street
Urbana, IL
(-88.208, 40.1053)"
402 Johnson Avenue	922116112007.00	4/11/2012	Class B	Issued	10/14/2022	"402 Johnson Avenue
Urbana, IL
(-88.1967, 40.11)"
1306 Eureka Street	912107206017.00	8/9/2011	Class B	Issued	10/14/2022	"1306 Eureka Street
Urbana, IL
(-88.2265, 40.1258)"
9 Florida Drive	932120201034.00	7/28/2009	Class B	Issued	10/14/2022	"9 Florida Drive
Urbana, IL
(-88.2089, 40.0975)"
1109 Stoughton Street	912107479003.00	1/16/2009	Class B	Issued	10/14/2022	"1109 Stoughton Street
Urbana, IL
(-88.2235, 40.1133)"
101 North Busey Avenue	922117101006.00	7/11/2012	Class B	Issued	10/14/2022	"101 North Busey Avenue
Urbana, IL
(-88.2178, 40.1125)"
706 East Scovill Street	932121356015.00	4/5/2017	Class B	Issued	10/14/2022	"706 East Scovill Street
Urbana, IL
(40.085663, -88.19878)"
205 North Coler Avenue	912108359013.00	11/1/2010	Class B	Issued	10/14/2022	"205 North Coler Avenue
Urbana, IL
(-88.2162, 40.1136)"
1120 Church Street	912107427011.00	11/16/2011	Class B	Issued		"1120 Church Street
Urbana, IL
(-88.2239, 40.1185)"
1007 South Webber Street	922116301025.00	2/11/2016	Class A	Issued	10/14/2022	"1007 South Webber Street
Urbana, IL
(-88.1994, 40.104)"
303 South Busey Avenue	922117103019.00	9/19/2018	Class B	Issued	10/14/2022	"303 South Busey Avenue
Urbana, IL
(40.11, -88.21822)"
1010 Springfield Avenue	912107483015.00	2/5/2009	Class B	Issued		"1010 Springfield Avenue
Urbana, IL
(-88.2215, 40.113)"
1302 East Michigan Avenue	922116376032.00	4/18/2016	Class B	Issued		"1302 East Michigan Avenue
Urbana, IL
(-88.1929, 40.1017)"
505 Springfield Avenue	922117110026.00	6/18/2013	Class B	Issued	10/14/2022	"505 Springfield Avenue
Urbana, IL
(-88.2139, 40.1121)"
207 West Oregon Street	922117259001.00	6/9/2009	Class B	Issued		"207 West Oregon Street
Urbana, IL
(-88.2097, 40.1073)"
1004 Stoughton Street	912107482013.00	7/13/2009	Class B	Issued	10/14/2022	"1004 Stoughton Street
Urbana, IL
(-88.2212, 40.1138)"
806 East Shurts Street	932121355018.00	3/28/2017	Class B	Issued	10/14/2022	"806 East Shurts Street
Urbana, IL
(40.086468, -88.19782)"
1502 East Florida Avenue	922116453008.00	8/19/2009	Class B	Expired	10/14/2022	"1502 East Florida Avenue
Urbana, IL
(-88.19, 40.0989)"
102 South Dodson Drive	912115128001.00	12/15/2017	Class B	Expired	10/14/2021	"102 South Dodson Drive
Urbana, IL
(40.1127586365, -88.1755142212)"
1712 East Lydia Court	932121452014.00	2/2/2018	Class B	Issued	10/14/2022	"1712 East Lydia Court
Urbana, IL
(40.08625, -88.18573)"
805 West Oregon Street	922117153003.00	11/5/2012	Class C	Issued	10/14/2022	"805 West Oregon Street
Urbana, IL
(-88.2189, 40.1073)"
1601 South Montgomery Street	912115387010.00	3/15/2018	Class A	Issued	10/14/2022	"1601 South Montgomery Street
Urbana, IL
(40.099552, -88.17409)"
912 South Lierman Avenue Unit B	922116402040.00	7/21/2014	Class B	Issued	10/14/2019	"912 South Lierman Avenue
Unit B Urbana, IL
(-88.1887, 40.1056)"
307 West Elm Street	922117136003.00	10/1/2019	Class B	Issued	10/14/2022	"307 West Elm Street
Urbana, IL
(40.111298, -88.211174)"
1206 Beech Street	912107259012.00	7/28/2011	Class B	Issued	10/14/2022	"1206 Beech Street
Urbana, IL
(-88.2248, 40.1225)"
714 West Green Street	922117106009.00	6/12/2018	Class B	Issued	10/14/2022	"714 West Green Street
Urbana, IL
(40.11086, -88.217514)"
1105 North Carroll Avenue	912109126035.00	2/12/2018	Class A	Fee Exempt Registration	10/14/2022	"1105 North Carroll Avenue
Urbana, IL
(40.1235656738, -88.1953048706)"
803 North Goodwin Avenue	912107410016.00	7/14/2011	Class B	Issued	10/14/2022	"803 North Goodwin Avenue
Urbana, IL
(-88.2243, 40.1196)"
2010 East Michigan Avenue	922116432054.00	1/23/2015	Class B	Issued	10/14/2022	"2010 East Michigan Avenue
Urbana, IL
(-88.1828, 40.102)"
1205 Beech Street	912107260005.00	6/30/2011	Class B	Expired		"1205 Beech Street
Urbana, IL
(-88.2249, 40.1219)"
206 East California Avenue	922117254008.00	4/4/2007	Class B	Issued		"206 East California Avenue
Urbana, IL
(-88.2057, 40.1086)"
801 North Orchard Street	912108308015.00	4/16/2014	Class B	Issued	10/14/2022	"801 North Orchard Street
Urbana, IL
(-88.2148, 40.1193)"
804 East Park Street	912109304002.00	12/14/2021	Class A	Issued	10/14/2022	"804 East Park Street
Urbana, IL
(40.117428, -88.19857)"
1103 West Main Street	912107478007.00	6/11/2009	Class C	Expired		"1103 West Main Street
Urbana, IL
(-88.2228, 40.1143)"
1011 East Water Street	912109379005.00	2/22/2012	Class B	Issued		"1011 East Water Street
Urbana, IL
(-88.1938, 40.1138)"
904 East Park Street	912109307002.00	8/16/2010	Class B	Expired	10/14/2022	"904 East Park Street
Urbana, IL
(-88.197, 40.1174)"
506 Sunny Lane	912115181003.00	3/26/2015	Class B	Issued	10/14/2022	"506 Sunny Lane
Urbana, IL
(-88.1723, 40.1079)"
1005 North Busey Avenue	912108152033.00	2/20/2012	Class B	Issued	10/14/2022	"1005 North Busey Avenue
Urbana, IL
(-88.2173, 40.1214)"
803 East California Avenue	922116157002.00	4/2/2012	Class B	Expired	10/14/2022	"803 East California Avenue
Urbana, IL
(-88.1987, 40.1083)"
2113 East Country Squire Drive	912115306007.00	3/4/2015	Class B	Issued	10/14/2022	"2113 East Country Squire Drive
Urbana, IL
(-88.1798, 40.1023)"
808 North Lincoln Avenue	912108301001.00	6/12/2008	Class B	Issued	10/14/2022	"808 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1198)"
705 South Lynn Street	922116162014.00	5/31/2012	Class B	Issued	10/14/2021	"705 South Lynn Street
Urbana, IL
(-88.1982, 40.1073)"
610 East Kerr Avenue	912109151012.00	2/7/2018	Class A	Fee Exempt Registration	10/14/2022	"610 East Kerr Avenue
Urbana, IL
(40.1224899292, -88.1999282837)"
1103 B East Harding Drive	932121177002.00	4/25/2017	Class B	Issued	10/14/2022	"1103 B East Harding Drive
Urbana, IL
(40.0935935974, -88.1943588257)"
315 North Orchard Street	912108362008.00	6/2/2008	Class B	Issued	10/14/2022	"315 North Orchard Street
Urbana, IL
(-88.215, 40.1148)"
503 South Webber Street	922116151004.00	2/17/2016	Class C	Issued		"503 South Webber Street
Urbana, IL
(-88.1993, 40.1091)"
102 North McCullough Street	922117130007.00	4/29/2010	Class B	Issued		"102 North McCullough Street
Urbana, IL
(-88.2132, 40.1125)"
1002 South Lierman Avenue Unit C	922116402049.00	7/21/2014	Class B	Issued	10/14/2022	"1002 South Lierman Avenue
Unit C Urbana, IL
(-88.1887, 40.1047)"
401 East Michigan Avenue	932117476006.00	7/12/2021	Class B	Expired	10/14/2021	"401 East Michigan Avenue
Urbana, IL
(40.101524353, -88.2035522461)"
801 Fairview Avenue	912108301011.00	7/15/2010	Class B	Issued	10/14/2021	"801 Fairview Avenue
Urbana, IL
(-88.2175, 40.1199)"
2105 East Pennsylvania Avenue	912115352005.00	4/27/2015	Class B	Issued	10/14/2022	"2105 East Pennsylvania Avenue
Urbana, IL
(-88.1805, 40.1009)"
2410 East Florida Avenue	912115386002.00	3/19/2015	Class B	Issued	10/14/2022	"2410 East Florida Avenue
Urbana, IL
(-88.1757, 40.0987)"
1303 Beardsley Avenue	912107206007.00	8/1/2011	Class B	Issued	10/14/2022	"1303 Beardsley Avenue
Urbana, IL
(-88.2263, 40.1261)"
1306 Laurel Drive	922116377008.00	4/27/2016	Class B	Issued	10/14/2021	"1306 Laurel Drive
Urbana, IL
(-88.192, 40.1011)"
1002 South Rainbow View	922116429001.00	12/23/2014	Class B	Temporarily Not a Rental		"1002 South Rainbow View
Urbana, IL
(-88.1845, 40.1047)"
703 West High Street	922117108007.00	8/22/2007	Class B	Issued		"703 West High Street
Urbana, IL
(-88.2165, 40.1096)"
709 West Nevada Street	922117158002.00	4/18/2018	Class B	Issued	10/14/2022	"709 West Nevada Street
Urbana, IL
(40.106186, -88.217026)"
308 West Nevada Street	922117184012.00	12/4/2019	Class B	Issued	10/14/2022	"308 West Nevada Street
Urbana, IL
(40.1068496704, -88.2109375)"
1405 East Michigan Avenue	922116377006.00	5/3/2016	Class B	Issued		"1405 East Michigan Avenue
Urbana, IL
(-88.1913, 40.1015)"
2018 Fletcher Street	932121183001.00	5/15/2017	Class B	Issued	10/14/2023	"2018 Fletcher Street
Urbana, IL
(40.0912437439, -88.1925735474)"
709 Ohio Street	932117307006.00	7/6/2009	Class B	Issued	10/14/2022	"709 Ohio Street
Urbana, IL
(-88.2167, 40.1035)"
909 South Cottage Grove Avenue	922116304018.00	6/12/2015	Class B	Issued		"909 South Cottage Grove Avenue
Urbana, IL
(-88.196, 40.1048)"
