Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1905 Cunningham Avenue	912104301026.00	10/28/2021	Class B	Issued	10/14/2022	"1905 Cunningham Avenue
Urbana, IL
(40.1310195923, -88.1995239258)"
312 South Coler Avenue	922117112013.00	12/30/2015	Class C	Issued		"312 South Coler Avenue
Urbana, IL
(-88.2158, 40.11)"
1208 Briarcliff Drive	922116378030.00	4/13/2016	Class B	Expired	10/14/2022	"1208 Briarcliff Drive
Urbana, IL
(-88.1936, 40.101)"
307 West Illinois Street	922117182004.00	3/25/2009	Class B	Issued	10/14/2022	"307 West Illinois Street
Urbana, IL
(-88.2111, 40.1089)"
710 East University Avenue	912109303011.00	11/2/2021	Class C	Issued	10/14/2022	"710 East University Avenue
Urbana, IL
(40.116592, -88.19954)"
710 North Lincoln Avenue	912108302001.00	1/23/2014	Class B	Issued	10/14/2022	"710 North Lincoln Avenue
Urbana, IL
(-88.2192, 40.119)"
2303 South Myra Ridge Drive	932121452008.00	1/8/2018	Class B	Issued	10/14/2022	"2303 South Myra Ridge Drive
Urbana, IL
(40.087143, -88.18569)"
2901 South Myra Ridge Drive	932128226013.00	3/1/2018	Class B	Issued	10/14/2022	"2901 South Myra Ridge Drive
Urbana, IL
(40.08139, -88.185555)"
1403 North Goodwin Avenue	912107207027.00	11/29/2011	Class B	Issued		"1403 North Goodwin Avenue
Urbana, IL
(-88.2245, 40.1252)"
411 West California Avenue	922117179001.00	5/17/2019	Class B	Issued	10/14/2022	"411 West California Avenue
Urbana, IL
(40.108086, -88.212975)"
609 Glover Avenue	922116177019.00	7/24/2015	Class B	Expired	10/14/2022	"609 Glover Avenue
Urbana, IL
(-88.1937, 40.1079)"
1901 East Washington Street	922116428014.00	1/9/2015	Class B	Issued	10/14/2022	"1901 East Washington Street
Urbana, IL
(-88.1845, 40.1054)"
1008 South Lincoln Avenue	932117302003.00	12/10/2019	Class B	Issued	10/14/2022	"1008 South Lincoln Avenue
Urbana, IL
(40.1038703918, -88.2188339233)"
608 Johnson Avenue	922116160004.00	10/25/2016	Class B	Issued	10/14/2022	"608 Johnson Avenue
Urbana, IL
(-88.1965, 40.108)"
707 West High Street	922117108005.00	10/5/2007	Class B	Issued	10/14/2022	"707 West High Street
Urbana, IL
(-88.2168, 40.1096)"
205 East Oregon Street	922117264003.00	5/21/2010	Class B	Issued	10/14/2022	"205 East Oregon Street
Urbana, IL
(-88.2056, 40.1075)"
1303 Mitchem Drive	932121181009.00	2/13/2013	Class B	Issued	10/14/2022	"1303 Mitchem Drive
Urbana, IL
(-88.1925, 40.0921)"
1120 South Lanore Drive	922116432010.00	4/5/2018	Class B	Issued	10/14/2022	"1120 South Lanore Drive
Urbana, IL
(40.102055, -88.186264)"
907 West Oregon Street	932118280006.00	12/19/2016	Class B	Expired	10/14/2022	"907 West Oregon Street
Urbana, IL
(-88.2201, 40.1067)"
1007 East Michigan Avenue	922116351021.00	3/8/2016	Class B	Issued	10/14/2022	"1007 East Michigan Avenue
Urbana, IL
(-88.1962, 40.1014)"
1003 Stoughton Street	912107483006.00	12/23/2008	Class B	Issued		"1003 Stoughton Street
Urbana, IL
(-88.2211, 40.1133)"
2006 Weaver Street	922116429027.00	1/13/2015	Class B	Issued	10/14/2022	"2006 Weaver Street
Urbana, IL
(-88.1822, 40.1036)"
806 East University Avenue	912109305009.00	11/3/2021	Class C	Issued	10/14/2022	"806 East University Avenue
Urbana, IL
(40.116604, -88.198326)"
1001 1/2 East Harding Drive	932121153009.00	7/8/2013	Class B	Issued	10/14/2022	"1001 1 2 East Harding Drive
Urbana, IL
(-88.1959, 40.0936)"
812 Clark Street	912108352007.00	8/24/2010	Class B	Issued	10/14/2022	"812 Clark Street
Urbana, IL
(-88.2188, 40.1157)"
1108 East Michigan Avenue	922116376025.00	4/29/2013	Class B	Issued	10/14/2022	"1108 East Michigan Avenue
Urbana, IL
(-88.1947, 40.1019)"
2014 East Michigan Avenue	922116432056.00	3/15/2018	Class A	Issued	10/14/2022	"2014 East Michigan Avenue
Urbana, IL
(40.1019744873, -88.1823654175)"
2016 Vawter Street	932121180008.00	2/11/2013	Class B	Issued		"2016 Vawter Street
Urbana, IL
(-88.1916, 40.0917)"
805 Hawthorne Drive	922116307008.00	3/16/2016	Class B	Issued		"805 Hawthorne Drive
Urbana, IL
(-88.1986, 40.1022)"
704 West High Street	922117107014.00	11/21/2012	Class B	Issued	10/14/2022	"704 West High Street
Urbana, IL
(-88.2165, 40.11)"
709 West Illinois Street	922117155004.00	12/29/2007	Class B	Issued	10/14/2022	"709 West Illinois Street
Urbana, IL
(-88.2171, 40.1088)"
605 East Shurts Street	932121352001.00	3/13/2017	Class B	Issued	10/14/2022	"605 East Shurts Street
Urbana, IL
(40.08602, -88.19979)"
105 West Oregon Street	922117261017.00	10/29/2019	Class B	Issued	10/14/2022	"105 West Oregon Street
Urbana, IL
(40.107357, -88.20797)"
1605 Hillcrest Street	932117478020.00	2/19/2010	Class B	Issued	10/14/2022	"1605 Hillcrest Street
Urbana, IL
(-88.2038, 40.0986)"
202 West California Avenue	922117251008.00	6/4/2009	Class B	Expired	10/14/2022	"202 West California Avenue
Urbana, IL
(-88.2092, 40.1084)"
1303 Laurel Drive	922116378015.00	4/27/2016	Class B	Issued	10/14/2022	"1303 Laurel Drive
Urbana, IL
(-88.1927, 40.101)"
501 Sunny Lane	912115180035.00	3/26/2015	Class B	Issued	10/14/2022	"501 Sunny Lane
Urbana, IL
(-88.1729, 40.1083)"
1504 North Mathews Avenue	912107204004.00	8/31/2011	Class B	Issued		"1504 North Mathews Avenue
Urbana, IL
(-88.2264, 40.1267)"
1109 East Scovill Street	932121379008.00	3/21/2017	Class B	Expired	10/14/2021	"1109 East Scovill Street
Urbana, IL
(40.085667, -88.193726)"
805 South Webber Street	922116161020.00	5/31/2012	Class B	Issued		"805 South Webber Street
Urbana, IL
(-88.1993, 40.1065)"
411 West Green Street	922117133001.00	5/1/2019	Class B	Issued	10/14/2022	"411 West Green Street
Urbana, IL
(40.110428, -88.212906)"
1005 Stoughton Street	912107483017.00	12/4/2008	Class B	Issued	10/14/2022	"1005 Stoughton Street
Urbana, IL
(-88.2215, 40.1133)"
106 North Race Street	922117202001.00	10/26/2021	Class B	Issued	10/14/2022	"106 North Race Street
Urbana, IL
(40.1128845215, -88.2087478638)"
205 West California Avenue	922117255002.00	11/4/2019	Class B	Issued	10/14/2022	"205 West California Avenue
Urbana, IL
(40.1081390381, -88.2094573975)"
207 West Vermont Avenue	932117382007.00	12/4/2019	Class B	Issued	10/14/2022	"207 West Vermont Avenue
Urbana, IL
(40.099636, -88.21047)"
708 East Shurts Street	932121355015.00	3/13/2017	Class B	Issued	10/14/2022	"708 East Shurts Street
Urbana, IL
(40.08646, -88.19856)"
2308 East Vermont Avenue	912115352030.00	3/19/2015	Class B	Issued	10/14/2022	"2308 East Vermont Avenue
Urbana, IL
(-88.1774, 40.1006)"
3020 East Stillwater Landing Unit 101	932122406001.00	11/21/2017	Class B	Issued	10/14/2022	"3020 East Stillwater Landing
Urbana, IL
(40.090393, -88.16672)"
707 North Coler Avenue	912108305015.00	2/12/2014	Class B	Issued	10/14/2022	"707 North Coler Avenue
Urbana, IL
(-88.216, 40.119)"
1308 Laurel Drive	922116377009.00	4/27/2016	Class A	Issued	10/14/2022	"1308 Laurel Drive
Urbana, IL
(-88.1918, 40.101)"
1208 Hill Street	912107410013.00	11/9/2011	Class B	Issued	10/14/2022	"1208 Hill Street
Urbana, IL
(-88.225, 40.1195)"
402 Grove Street	922117245001.00	5/29/2015	Class B	Issued		"402 Grove Street
Urbana, IL
(-88.2011, 40.1098)"
2306 East Main Street	912110382028.00	3/13/2012	Class A	Issued	10/14/2022	"2306 East Main Street
Urbana, IL
(-88.1778, 40.1132)"
2102 South Pond Street	932121328001.00	4/12/2017	Class B	Issued	10/14/2022	"2102 South Pond Street
Urbana, IL
(40.090443, -88.19408)"
1109 Lanore Drive	922116404018.00	7/31/2014	Class B	Issued	10/14/2022	"1109 Lanore Drive
Urbana, IL
(-88.1869, 40.1029)"
907 Hill Street	912107429013.00	11/14/2011	Class B	Issued		"907 Hill Street
Urbana, IL
(-88.2203, 40.119)"
1209 Division Avenue	912108206008.00	11/3/2010	Class B	Temporarily Not a Rental		"1209 Division Avenue
Urbana, IL
(-88.2057, 40.1245)"
1 Buena Vista Court	922117110010.00	6/27/2014	Class B	Expired	10/14/2022	"1 Buena Vista Court
Urbana, IL
(-88.2149, 40.1117)"
616 East Colorado Avenue	932121105008.00	8/9/2017	Class B	Issued	10/14/2022	"616 East Colorado Avenue
Urbana, IL
(40.094975, -88.19896)"
609 West Elm Street	922117111002.00	12/23/2008	Class B	Issued	10/14/2022	"609 West Elm Street
Urbana, IL
(-88.2156, 40.1112)"
604 South Coler Avenue	922117160002.00	12/2/2008	Class B	Issued		"604 South Coler Avenue
Urbana, IL
(-88.2158, 40.1079)"
705 West Elm Street	922117106005.00	7/11/2018	Class B	Issued	10/14/2022	"705 West Elm Street
Urbana, IL
(40.111233, -88.216705)"
1504 Briarcliff Drive	922116452018.00	5/9/2016	Class B	Issued	10/14/2022	"1504 Briarcliff Drive
Urbana, IL
(-88.19, 40.1002)"
210 North Central Avenue	912108383002.00	8/24/2021	Class B	Issued	10/14/2022	"210 North Central Avenue
Urbana, IL
(40.11411, -88.21115)"
1108 Lanore Drive	922116432004.00	12/24/2014	Class B	Issued	10/14/2022	"1108 Lanore Drive
Urbana, IL
(-88.1863, 40.1031)"
1200 South Vine Street	932117430014.00	8/9/2017	Class B	Issued	10/14/2022	"1200 South Vine Street
Urbana, IL
(40.1028404236, -88.2044448853)"
2304 East Main Street	912110382027.00	3/14/2012	Class A	Issued	10/14/2022	"2304 East Main Street
Urbana, IL
(-88.1779, 40.1132)"
912 South Lierman Avenue Unit D	922116402042.00	7/21/2014	Class B	Issued		"912 South Lierman Avenue
Unit D Urbana, IL
(-88.1887, 40.1056)"
1203 North Coler Avenue	912108153025.00	1/10/2011	Class B	Issued		"1203 North Coler Avenue
Urbana, IL
(-88.2161, 40.123)"
2602 A South Anderson Street	932121357006.00	3/27/2017	Class B	Issued	10/14/2022	"2602 A South Anderson Street
Urbana, IL
(40.0842247009, -88.1990890503)"
703 West Oregon Street	922117157005.00	7/30/2012	Class B	Issued	10/14/2022	"703 West Oregon Street
Urbana, IL
(-88.2164, 40.1072)"
713 Cunningham Avenue	912108404003.00	9/8/2010	Class B	Issued		"713 Cunningham Avenue
Urbana, IL
(-88.2034, 40.1201)"
904 North Broadway Avenue Unit 20	912108257033.00	2/4/2008	Class B	Issued	10/14/2020	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1503 South Smith Road	912115385011.00	3/17/2015	Class A	Issued		"1503 South Smith Road
Urbana, IL
(-88.1762, 40.1001)"
107 West Oregon Street	922117261016.00	6/25/2019	Class B	Issued	10/14/2022	"107 West Oregon Street
Urbana, IL
(40.10733, -88.20819)"
1 Hill Street Court	912107429010.00	12/20/2011	Class B	Expired		"1 Hill Street Court
Urbana, IL
(-88.2208, 40.1188)"
2006 Vawter Street	932121180003.00	1/15/2013	Class C	Issued		"2006 Vawter Street
Urbana, IL
(-88.1916, 40.0931)"
311 West High Street	922117138001.00	11/20/2019	Class B	Issued	10/14/2022	"311 West High Street
Urbana, IL
(40.1096496582, -88.2115707397)"
806 Sunny Lane	912115181014.00	3/26/2015	Class B	Issued	10/14/2021	"806 Sunny Lane
Urbana, IL
(-88.1722, 40.106)"
701 West Elm Street	922117106007.00	7/11/2018	Class B	Issued	10/14/2022	"701 West Elm Street
Urbana, IL
(40.111256, -88.216385)"
506 East Elm Street	922117229006.00	11/23/2021	Class B	Issued	10/14/2022	"506 East Elm Street
Urbana, IL
(40.11198, -88.20187)"
1502 South Vine Street	932117478007.00	2/20/2020	Class B	Issued	10/14/2022	"1502 South Vine Street
Urbana, IL
(40.099422, -88.204544)"
905 East Illinois Street	922116154011.00	1/17/2013	Class B	Issued		"905 East Illinois Street
Urbana, IL
(-88.1973, 40.1092)"
2404 South Vine Street	932120477008.00	7/16/2013	Class B	Issued	10/14/2022	"2404 South Vine Street
Urbana, IL
(-88.2017, 40.0856)"
1108 South Austin Drive	922116404006.00	3/15/2018	Class A	Issued	10/14/2022	"1108 South Austin Drive
Urbana, IL
(40.103061676, -88.1872253418)"
904 North Broadway Avenue Unit 12	912108257025.00	2/8/2008	Class B	Expired	10/14/2021	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
406 East Florida Avenue	932117479019.00	1/15/2020	Class B	Issued	10/14/2022	"406 East Florida Avenue
Urbana, IL
(40.098606, -88.20286)"
713 West Washington Street	932117305002.00	12/15/2016	Class B	Issued		"713 West Washington Street
Urbana, IL
(-88.2172, 40.1053)"
407 Johnson Avenue	922116111018.00	5/16/2012	Class B	Issued		"407 Johnson Avenue
Urbana, IL
(-88.1971, 40.1095)"
1005 Crestwood Drive	922116306012.00	3/1/2016	Class B	Expired		"1005 Crestwood Drive
Urbana, IL
(-88.1961, 40.103)"
206 West High Street	922117211007.00	11/25/2014	Class C	Expired		"206 West High Street
Urbana, IL
(-88.2095, 40.1101)"
901 East Delaware Avenue	922116354001.00	4/15/2016	Class B	Issued	10/14/2022	"901 East Delaware Avenue
Urbana, IL
(-88.1976, 40.099)"
504 1/2 East Oregon Street	922117282012.00	10/29/2009	Class B	Issued	10/14/2022	"504 1 2 East Oregon Street
Urbana, IL
(-88.202, 40.1079)"
2002 South Anderson Street	932121153001.00	2/27/2017	Class B	Issued	10/14/2022	"2002 South Anderson Street
Urbana, IL
(40.093594, -88.19842)"
705 North Coler Avenue	912108305016.00	2/12/2014	Class B	Issued	10/14/2022	"705 North Coler Avenue
Urbana, IL
(-88.216, 40.1188)"
1309 Laurel Drive	922116378018.00	4/27/2016	Class A	Issued		"1309 Laurel Drive
Urbana, IL
(-88.1922, 40.1007)"
105 East George Huff Drive	932120403001.00	8/25/2016	Class B	Issued	10/14/2022	"105 East George Huff Drive
Urbana, IL
(-88.2062, 40.0907)"
1507 East Washington Street	922116401022.00	5/2/2018	Class B	Issued	10/14/2022	"1507 East Washington Street
Urbana, IL
(40.1047935486, -88.1900939941)"
7 Shuman Circle	932120281010.00	7/28/2016	Class B	Issued		"7 Shuman Circle
Urbana, IL
(-88.2013, 40.0921)"
1307 Laurel Drive	922116378017.00	4/27/2016	Class B	Issued	10/14/2022	"1307 Laurel Drive
Urbana, IL
(-88.1924, 40.1008)"
508 Griggs Street	912108377007.00	7/6/2007	Class B	Issued		"508 Griggs Street
Urbana, IL
(-88.2138, 40.1148)"
2213 South Philo Road	932121332020.00	3/28/2017	Class B	Issued	10/14/2022	"2213 South Philo Road
Urbana, IL
(40.08856, -88.190956)"
606 West Illinois Street	922117113011.00	11/17/2008	Class B	Issued	10/14/2021	"606 West Illinois Street
Urbana, IL
(-88.2152, 40.1093)"
901 Harvey Street	912107280014.00	12/13/2011	Class A	Issued	10/14/2021	"901 Harvey Street
Urbana, IL
(-88.2222, 40.1202)"
904 North Broadway Avenue Unit 202	912108257051.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
407 Dodson Drive	912115176004.00	4/16/2015	Class C	Expired	10/14/2022	"407 Dodson Drive
Urbana, IL
(-88.1765, 40.108)"
404 East Florida Avenue	932117479018.00	1/15/2020	Class B	Issued	10/14/2022	"404 East Florida Avenue
Urbana, IL
(40.098606, -88.203125)"
1406 Stout Drive	922116129020.00	3/12/2012	Class B	Issued	10/14/2021	"1406 Stout Drive
Urbana, IL
(-88.1917, 40.1108)"
2944 Rutherford Drive	912110406033.00	3/13/2015	Class A	Issued	10/14/2022	"2944 Rutherford Drive
Urbana, IL
(-88.164, 40.1152)"
501 West California Avenue	922117177006.00	6/4/2013	Class C	Issued	10/14/2022	"501 West California Avenue
Urbana, IL
(-88.2133, 40.1081)"
211 North Central Avenue	912108380008.00	8/24/2021	Class B	Issued	10/14/2022	"211 North Central Avenue
Urbana, IL
(40.11413, -88.21183)"
1301 East Harding Drive	932121177007.00	1/28/2013	Class B	Expired	10/14/2022	"1301 East Harding Drive
Urbana, IL
(-88.193, 40.0936)"
805 East Main Street	922116103004.00	6/25/2009	Class B	Issued		"805 East Main Street
Urbana, IL
(-88.1986, 40.1127)"
2506 A South Anderson Street	932121357003.00	3/27/2017	Class B	Issued	10/14/2022	"2506 A South Anderson Street
Urbana, IL
(40.0848197937, -88.1991043091)"
1504 Philo Road	922116453002.00	4/30/2013	Class B	Issued		"1504 Philo Road
Urbana, IL
(-88.1908, 40.0996)"
306 South Coler Avenue	922117112006.00	6/12/2008	Class B	Issued	10/14/2022	"306 South Coler Avenue
Urbana, IL
(-88.2158, 40.1101)"
710 Wabash Avenue	922116165004.00	5/24/2012	Class B	Issued	10/14/2022	"710 Wabash Avenue
Urbana, IL
(-88.1964, 40.1068)"
705 South Busey Avenue	922117153015.00	2/18/2016	Class B	Issued		"705 South Busey Avenue
Urbana, IL
(-88.2179, 40.1067)"
1003 South Smith Road	912115326011.00	3/28/2018	Class B	Issued	10/14/2022	"1003 South Smith Road
Urbana, IL
(40.1043891907, -88.1766204834)"
305 West Elm Street	922117136004.00	6/9/2014	Class B	Issued		"305 West Elm Street
Urbana, IL
(-88.2109, 40.1113)"
402 South Cottage Grove Avenue	922116130007.00	6/3/2015	Class B	Issued	10/14/2022	"402 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1099)"
406 West Green Street	922117132012.00	12/4/2017	Class B	Issued	10/14/2022	"406 West Green Street
Urbana, IL
(40.1109237671, -88.2123718262)"
304 Barr Avenue	912108280023.00	5/11/2010	Class A	Issued		"304 Barr Avenue
Urbana, IL
(-88.2043, 40.1203)"
304 West Elm Street	922117135013.00	6/27/2019	Class A	Issued	10/14/2022	"304 West Elm Street
Urbana, IL
(40.111782, -88.21075)"
205 West High Street	922117213002.00	4/28/2009	Class B	Issued		"205 West High Street
Urbana, IL
(-88.2095, 40.1097)"
705 West Green Street	922117107006.00	10/30/2012	Class B	Issued	10/14/2022	"705 West Green Street
Urbana, IL
(-88.2167, 40.1104)"
403 East Green Street	922117239002.00	8/24/2021	Class A	Issued	10/14/2022	"403 East Green Street
Urbana, IL
(40.110573, -88.203285)"
1302 East Mitchem Drive	932121179001.00	4/24/2017	Class B	Issued	10/14/2022	"1302 East Mitchem Drive
Urbana, IL
(40.0924987793, -88.1926345825)"
813 Hill Street	912108302008.00	8/15/2014	Class B	Issued	10/14/2022	"813 Hill Street
Urbana, IL
(-88.2184, 40.1189)"
603 East California Avenue	922117283002.00	6/12/2009	Class B	Expired	10/14/2022	"603 East California Avenue
Urbana, IL
(-88.2009, 40.1083)"
304 East Washington Street	922117284027.00	12/4/2009	Class B	Expired		"304 East Washington Street
Urbana, IL
(-88.2045, 40.1058)"
103 Grossbach Drive	922116104022.00	3/5/2012	Class B	Issued	10/14/2022	"103 Grossbach Drive
Urbana, IL
(-88.197, 40.1123)"
712 South Walnut Street	922117264010.00	11/24/2009	Class B	Issued	10/14/2022	"712 South Walnut Street
Urbana, IL
(-88.206, 40.1067)"
2403 Provine Circle	932120480008.00	7/25/2016	Class B	Issued	10/14/2021	"2403 Provine Circle
Urbana, IL
(-88.2034, 40.0856)"
1007 North Highlands Drive	912108276025.00	11/3/2021	Class B	Issued	10/14/2022	"1007 North Highlands Drive
Urbana, IL
(40.122627, -88.204704)"
804 1/2 South Lynn Street	922116163013.00	1/29/2013	Class B	Issued	10/14/2022	"804 1 2 South Lynn Street
Urbana, IL
(-88.1975, 40.1064)"
906 Springfield Avenue	912107487008.00	2/6/2009	Class B	Issued	10/14/2021	"906 Springfield Avenue
Urbana, IL
(-88.2199, 40.113)"
4 Florida Drive	932120201010.00	8/29/2016	Class C	Expired	10/14/2022	"4 Florida Drive
Urbana, IL
(-88.2084, 40.0979)"
909 Hill Street	912107429012.00	11/14/2011	Class B	Issued		"909 Hill Street
Urbana, IL
(-88.2205, 40.119)"
709 North Coler Avenue	912108305014.00	2/12/2014	Class B	Issued	10/14/2022	"709 North Coler Avenue
Urbana, IL
(-88.216, 40.1191)"
1603 Abercorn Street	912115388009.00	2/27/2015	Class B	Issued	10/14/2022	"1603 Abercorn Street
Urbana, IL
(-88.1728, 40.0994)"
812 Stoughton Street	912108354011.00	8/17/2010	Class B	Issued	10/14/2022	"812 Stoughton Street
Urbana, IL
(-88.2189, 40.1138)"
1108 South Busey Avenue	932117307003.00	6/24/2009	Class A	Issued	10/14/2022	"1108 South Busey Avenue
Urbana, IL
(-88.2174, 40.1031)"
304 Locust Street	912108383008.00	7/12/2007	Class B	Issued	10/14/2022	"304 Locust Street
Urbana, IL
(-88.2107, 40.1137)"
1604 Hunter Street	922116402056.00	7/21/2014	Class C	Issued	10/14/2022	"1604 Hunter Street
Urbana, IL
(-88.1883, 40.1038)"
703 East Oregon Street	922116161002.00	6/17/2015	Class B	Issued	10/14/2022	"703 East Oregon Street
Urbana, IL
(-88.1999, 40.1075)"
1009 Stoughton Street	912107483002.00	3/13/2009	Class B	Expired	10/14/2022	"1009 Stoughton Street
Urbana, IL
(-88.2218, 40.1133)"
802 East Florida Avenue	922116352014.00	4/14/2016	Class A	Issued		"802 East Florida Avenue
Urbana, IL
(-88.1983, 40.0986)"
106 South Cottage Grove Avenue	922116126009.00	6/29/2012	Class B	Issued	10/14/2022	"106 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1123)"
202 Hartle Avenue	922116129006.00	7/29/2009	Class B	Issued	10/14/2021	"202 Hartle Avenue
Urbana, IL
(-88.1919, 40.1118)"
2001 East Washington Street	922116428019.00	2/2/2015	Class B	Issued	10/14/2022	"2001 East Washington Street
Urbana, IL
(-88.1828, 40.1054)"
1108 East Main Street	912109377017.00	2/28/2012	Class B	Issued	10/14/2023	"1108 East Main Street
Urbana, IL
(-88.1949, 40.1132)"
1109 South Austin Drive	922116403006.00	2/14/2018	Class B	Issued	10/14/2022	"1109 South Austin Drive
Urbana, IL
(40.1029624939, -88.187789917)"
410 East Brookens Drive	932120476017.00	4/13/2017	Class B	Issued	10/14/2022	"410 East Brookens Drive
Urbana, IL
(40.087246, -88.201836)"
307 East Illinois Street	922117276009.00	12/15/2009	Class B	Expired	10/14/2022	"307 East Illinois Street
Urbana, IL
(-88.2039, 40.1091)"
207 Thompson Street	912108204008.00	5/13/2010	Class B	Issued	10/14/2022	"207 Thompson Street
Urbana, IL
(-88.2056, 40.1256)"
711 Western Avenue	922117105001.00	10/15/2012	Class B	Issued		"711 Western Avenue
Urbana, IL
(-88.2171, 40.1122)"
204 Hartle Avenue	922116129007.00	6/30/2009	Class B	Issued	10/14/2021	"204 Hartle Avenue
Urbana, IL
(-88.1919, 40.1117)"
1211 Beslin Street	912107410003.00	7/14/2011	Class C	Expired	10/14/2022	"1211 Beslin Street
Urbana, IL
(-88.2252, 40.1201)"
806 Church Street	912108302018.00	2/6/2014	Class B	Issued	10/14/2022	"806 Church Street
Urbana, IL
(-88.2178, 40.1185)"
1004 South Busey Avenue	932117306002.00	7/27/2009	Class B	Issued	10/14/2022	"1004 South Busey Avenue
Urbana, IL
(-88.2173, 40.1043)"
804 Birch Street	922117185017.00	3/17/2009	Class B	Issued	10/14/2021	"804 Birch Street
Urbana, IL
(-88.2114, 40.1062)"
2017 Philo Road	932121183004.00	5/15/2017	Class B	Issued	10/14/2022	"2017 Philo Road
Urbana, IL
(40.0912475586, -88.1911315918)"
2007 East Washington Street	922116428031.00	2/9/2015	Class B	Issued		"2007 East Washington Street
Urbana, IL
(-88.1818, 40.1054)"
808 Cedar Street	922117189004.00	3/31/2009	Class B	Under Review	10/14/2022	"808 Cedar Street
Urbana, IL
(-88.2101, 40.1058)"
2201 Lantern Hill Drive	912115304010.00	3/12/2015	Class B	Issued		"2201 Lantern Hill Drive
Urbana, IL
(-88.1795, 40.104)"
1303 East Mumford Drive	932121328006.00	5/2/2017	Class B	Issued	10/14/2022	"1303 East Mumford Drive
Urbana, IL
(40.0904502869, -88.1926269531)"
703 West Illinois Street	922117155007.00	1/8/2008	Class B	Issued	10/14/2022	"703 West Illinois Street
Urbana, IL
(-88.2165, 40.1089)"
907 Fairlawn Drive	922116307017.00	2/19/2016	Class B	Issued	10/14/2021	"907 Fairlawn Drive
Urbana, IL
(-88.1969, 40.1022)"
1211 East Michigan Avenue	922116378014.00	4/29/2013	Class B	Issued	10/14/2022	"1211 East Michigan Avenue
Urbana, IL
(-88.1932, 40.1014)"
904 1/2 South Webber Street	922116302006.00	7/1/2015	Class B	Issued	10/14/2021	"904 1 2 South Webber Street
Urbana, IL
(-88.1987, 40.1052)"
905 Springfield Avenue	932118227009.00	1/28/2009	Class A	Issued	10/14/2021	"905 Springfield Avenue
Urbana, IL
(-88.22, 40.1125)"
1003 North Mathews Avenue	912107256012.00	6/16/2011	Class C	Expired	10/14/2022	"1003 North Mathews Avenue
Urbana, IL
(-88.226, 40.1216)"
505 Urbana Avenue	922117276005.00	2/25/2010	Class A	Issued	10/14/2022	"505 Urbana Avenue
Urbana, IL
(-88.204, 40.1088)"
604 South Lynn Street	922116158002.00	2/3/2016	Class B	Issued		"604 South Lynn Street
Urbana, IL
(-88.1977, 40.1082)"
1308 East Michigan Avenue	922116376035.00	3/10/2016	Class B	Expired		"1308 East Michigan Avenue
Urbana, IL
(-88.1921, 40.1019)"
201 South Grove Street	922117235007.00	10/14/2021	Class A	Expired	10/14/2021	"201 South Grove Street
Urbana, IL
(40.11147, -88.20163)"
810 Church Street	912108302016.00	2/7/2014	Class B	Issued	10/14/2022	"810 Church Street
Urbana, IL
(-88.2182, 40.1184)"
502 West Green Street Unit 103	922117127017.00	12/12/2008	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
1602 South Bermuda Drive	912115355027.00	2/16/2018	Class A	Issued	10/14/2022	"1602 South Bermuda Drive
Urbana, IL
(40.0994262695, -88.179069519)"
304 South Busey Avenue	922117107010.00	8/21/2007	Class A	Issued		"304 South Busey Avenue
Urbana, IL
(-88.2174, 40.11)"
1505 South Broadway Avenue Unit 5	932117453059.00	12/11/2019	Class B	Issued	10/14/2022	"1505 South Broadway Avenue
Urbana, IL
(40.099495, -88.20769)"
501 South Poplar Street	922116176010.00	12/7/2012	Class B	Issued	10/14/2022	"501 South Poplar Street
Urbana, IL
(-88.1949, 40.1092)"
1204 Mitchem Drive Unit A	932121178016.00	6/4/2013	Class B	Issued		"1204 Mitchem Drive
Unit A Urbana, IL
(-88.1935, 40.0925)"
801 West Iowa Street	932117302007.00	4/20/2007	Class B	Issued		"801 West Iowa Street
Urbana, IL
(-88.218, 40.1045)"
307 West Oregon Street	922117184004.00	11/6/2019	Class B	Issued	10/14/2022	"307 West Oregon Street
Urbana, IL
(40.1072692871, -88.2111282349)"
809 West Main Street	912108354003.00	5/18/2011	Class A	Issued	10/14/2022	"809 West Main Street
Urbana, IL
(-88.2187, 40.1142)"
701 Indiana Avenue	932117308008.00	7/2/2009	Class A	Issued	10/14/2022	"701 Indiana Avenue
Urbana, IL
(-88.2159, 40.1025)"
1012 North Geraldine Avenue	912108278007.00	11/23/2021	Class B	Approved		"1012 North Geraldine Avenue
Urbana, IL
(40.122902, -88.20248)"
3015 Rutherford Drive	912110407048.00	3/12/2015	Class B	Issued		"3015 Rutherford Drive
Urbana, IL
(-88.1635, 40.1158)"
906 South Timothy Trail	912115302002.00	2/8/2018	Class C	Issued	10/14/2022	"906 South Timothy Trail
Urbana, IL
(40.1051826477, -88.1778488159)"
